제목	본문	TEXT	감성점수	lama 3.1 감성 분석
“서울 건설현장 핵심에서 혐오시설로 전락” [레미콘, 이젠①]	수도권 내 레미콘 공장들이 철거로 내몰리면서 서울 내 레미콘 적기 공급이 나날이 어려워지고 있다. 도심 개발이 이뤄지기 전부터 수십년 째 터를 잡고 서울과 수도권 내 건설현장에 레미콘을 공급해오던 공장들이 지자체와	“서울 건설현장 핵심에서 혐오시설로 전락” [레미콘, 이젠①] 수도권 내 레미콘 공장들이 철거로 내몰리면서 서울 내 레미콘 적기 공급이 나날이 어려워지고 있다. 도심 개발이 이뤄지기 전부터 수십년 째 터를 잡고 서울과 수도권 내 건설현장에 레미콘을 공급해오던 공장들이 지자체와	-6	긍정
평당 3억 아파트 만들자…49층 접고 70층 짓겠다는 이 아파트 [부동산360]	최근 공사비 급증으로 고층 재건축·재개발을 포기하는 사업장이 늘고 있지만, 한강변 주요 단지들은 70층대 초고층 경쟁 분위기가 뜨거운 모습이다. 특히 압구정 일대에서 사업 속도가 가장 빠른 압구정 2구역은 조합원의	평당 3억 아파트 만들자…49층 접고 70층 짓겠다는 이 아파트 [부동산360] 최근 공사비 급증으로 고층 재건축·재개발을 포기하는 사업장이 늘고 있지만, 한강변 주요 단지들은 70층대 초고층 경쟁 분위기가 뜨거운 모습이다. 특히 압구정 일대에서 사업 속도가 가장 빠른 압구정 2구역은 조합원의	-1	부정
'공사비' 피크 지났나… 자재값 안정세에 3개월째 내리막길 [부동산 아토즈]	3년간 30% 가량 치솟았던 건설공사비지수가 최근 들어 3개월 연속 하락하면서 폭등세가 진정될지 관심이다. 천정부지로 치솟던 자재값이 다소 안정화 된 것이 주된 원인이라는 분석이다. 업계에서도 공사비 폭등이 피크를	'공사비' 피크 지났나… 자재값 안정세에 3개월째 내리막길 [부동산 아토즈] 3년간 30% 가량 치솟았던 건설공사비지수가 최근 들어 3개월 연속 하락하면서 폭등세가 진정될지 관심이다. 천정부지로 치솟던 자재값이 다소 안정화 된 것이 주된 원인이라는 분석이다. 업계에서도 공사비 폭등이 피크를	8	부정
"오션뷰 내세웠는데도 ""비싸요, 안 사""…눈물의 '억대 할인' 이 아파트"	부산 수영구 민락동에 위치한 하이엔드 아파트 '테넌바움294'가 분양 이후 판매 부진을 겪으며 대대적인 할인 분양에 돌입했다. 부산에서 브랜드 아파트가 할인 분양에 나선 것은 2008년 글로벌 금융위기 이후 10여	"오션뷰 내세웠는데도 ""비싸요, 안 사""…눈물의 '억대 할인' 이 아파트 부산 수영구 민락동에 위치한 하이엔드 아파트 '테넌바움294'가 분양 이후 판매 부진을 겪으며 대대적인 할인 분양에 돌입했다. 부산에서 브랜드 아파트가 할인 분양에 나선 것은 2008년 글로벌 금융위기 이후 10여"	-9	부정
빈집 고쳐 ‘월 1만원’ 임대줬더니… 전남 강진군에 벌어진 일	‘강진품애(愛)’ 사업, 절반은 수도권서 이주 경기도 김포시에 살던 임고은(35)씨는 지난 7월부터 전남 강진군 병영면으로 이주해 파스타 전문점을 운영하고 있다. 임씨가 이사를 결심하게 된 계기는 강진군이 ‘빈집’을	빈집 고쳐 ‘월 1만원’ 임대줬더니… 전남 강진군에 벌어진 일 ‘강진품애(愛)’ 사업, 절반은 수도권서 이주 경기도 김포시에 살던 임고은(35)씨는 지난 7월부터 전남 강진군 병영면으로 이주해 파스타 전문점을 운영하고 있다. 임씨가 이사를 결심하게 된 계기는 강진군이 ‘빈집’을	-3	긍정입니다.
대세된 소형평형…‘전용 59㎡’ 아파트, `신흥강자’ 등극	1~2인 가구 증가 영향…집값 상승 현상에 ‘실속’ 우선시되며 관심 증가 이달 분양시장에도 전용면적 59㎡ 아파트 대규모 분양 ‘주목’ 수도권 아파트 시장에서 전용면적 59㎡의 인기가 치솟고 있다. 국민평형인 전용면	대세된 소형평형…‘전용 59㎡’ 아파트, `신흥강자’ 등극 1~2인 가구 증가 영향…집값 상승 현상에 ‘실속’ 우선시되며 관심 증가 이달 분양시장에도 전용면적 59㎡ 아파트 대규모 분양 ‘주목’ 수도권 아파트 시장에서 전용면적 59㎡의 인기가 치솟고 있다. 국민평형인 전용면	-4	긍정입니다.
“큰 집서 살려다 등골 빠지겠네”…대형 타입, 분양가 상승폭 중소형比 2.7배	전국적으로 분양가 상승이 이어지는 가운데 전용면적 85㎡ 초과 즉, 대형 주택 타입 분양가가 중소형(전용 60~85㎡ 이하) 주택 타입에 비해 2.7배 더 오른 것으로 나타났다. 15일 부동산R114에 따르면 전일	“큰 집서 살려다 등골 빠지겠네”…대형 타입, 분양가 상승폭 중소형比 2.7배 전국적으로 분양가 상승이 이어지는 가운데 전용면적 85㎡ 초과 즉, 대형 주택 타입 분양가가 중소형(전용 60~85㎡ 이하) 주택 타입에 비해 2.7배 더 오른 것으로 나타났다. 15일 부동산R114에 따르면 전일	-1	부정
"""청약 납입인정금액 상향 언제부터 되나요""…선납자들 '혼란'"	오는 11월1일부로 청약 월 납입인정액 상한이 10만원에서 25만원으로 상향되는 가운데, 선납입분을 취소하고 새로 납입해야 하는 선납자들은 여전히 혼란을 겪는 것으로 나타났다. 16일 뉴시스 취재를 종합하면 주택청약	"""청약 납입인정금액 상향 언제부터 되나요""…선납자들 '혼란' 오는 11월1일부로 청약 월 납입인정액 상한이 10만원에서 25만원으로 상향되는 가운데, 선납입분을 취소하고 새로 납입해야 하는 선납자들은 여전히 혼란을 겪는 것으로 나타났다. 16일 뉴시스 취재를 종합하면 주택청약"	1	긍정입니다.
`100억 아파트` 나인원 한남 옆 폐허?	실시 계획 인가 확정시 강제매수 토지보상비 4000억에 조성 난항 대한민국 최고가 아파트 서울 용산구 한남동 '나인원 한남' 단지의 남측에 붙어있는 '노른자 땅'이 거의 10년간 폐허로 남겨져 있다. 30년이 넘게	`100억 아파트` 나인원 한남 옆 폐허? 실시 계획 인가 확정시 강제매수 토지보상비 4000억에 조성 난항 대한민국 최고가 아파트 서울 용산구 한남동 '나인원 한남' 단지의 남측에 붙어있는 '노른자 땅'이 거의 10년간 폐허로 남겨져 있다. 30년이 넘게	0	부정
양극화된 주택시장…수도권 ‘맑음’, 지방 ‘흐림’	전국 민간아파트 시장의 양극화가 심화되고 있다. 서울을 비롯한 수도권 아파트값은 9월에도 상승폭이 다소 둔화됐을 뿐 여전히 상승세를 이어가고 있으나, 지방은 하락세를 벗어나지 못하고 있다. 아파트 공급자 입장에서 보	양극화된 주택시장…수도권 ‘맑음’, 지방 ‘흐림’ 전국 민간아파트 시장의 양극화가 심화되고 있다. 서울을 비롯한 수도권 아파트값은 9월에도 상승폭이 다소 둔화됐을 뿐 여전히 상승세를 이어가고 있으나, 지방은 하락세를 벗어나지 못하고 있다. 아파트 공급자 입장에서 보	-18	중립
15억 아파트 사면 1000만원 샤넬백 준다…계약하시겠습니까? [부동산360]	수도권 선호단지를 중심으로 분양시장이 회복세를 보이고 있지만 여전히 다수의 사업장에선 ‘미분양 털기’에 안간힘을 쓰는 모양새다. 계약자를 대상으로 추첨을 통해 명품백을 증정하는 행사를 진행하는가 하면 계약금 5%·안	15억 아파트 사면 1000만원 샤넬백 준다…계약하시겠습니까? [부동산360] 수도권 선호단지를 중심으로 분양시장이 회복세를 보이고 있지만 여전히 다수의 사업장에선 ‘미분양 털기’에 안간힘을 쓰는 모양새다. 계약자를 대상으로 추첨을 통해 명품백을 증정하는 행사를 진행하는가 하면 계약금 5%·안	-1	부정
"층수 올리고 구조는 신축처럼… ""집이 확 넓어졌네요"" [현장르포]"	"17층, 여기는 완전히 새로 생긴 층이죠. 전용면적 100㎡에서 106㎡으로 넓어졌고요."" 이슬비가 내리는 15일 서울 송파구 송파동 171번지에 위치한 송파성지아파트(잠실더샵루벤) 현장은 리모델링 공사가 한창이었"	"층수 올리고 구조는 신축처럼… ""집이 확 넓어졌네요"" [현장르포] 17층, 여기는 완전히 새로 생긴 층이죠. 전용면적 100㎡에서 106㎡으로 넓어졌고요."" 이슬비가 내리는 15일 서울 송파구 송파동 171번지에 위치한 송파성지아파트(잠실더샵루벤) 현장은 리모델링 공사가 한창이었"	-2	긍정입니다.
"""길 뚫리면 집값도 뛴다""…2030 젊은 집주인들 몰리는 동네"	올해 경기도 생애 첫 아파트 구매가 가장 많은 곳은 화성, 파주, 양주로 나타났다. 서울 접근성이 개선된 영향이 크다는 설명이다. 16일 부동산시장 분석업체 부동산인포가 대법원 '소유권이전등기 신청 매수인 현황'을	"""길 뚫리면 집값도 뛴다""…2030 젊은 집주인들 몰리는 동네 올해 경기도 생애 첫 아파트 구매가 가장 많은 곳은 화성, 파주, 양주로 나타났다. 서울 접근성이 개선된 영향이 크다는 설명이다. 16일 부동산시장 분석업체 부동산인포가 대법원 '소유권이전등기 신청 매수인 현황'을"	0	중립
'5억 로또'에 2만5000명 몰렸다 …'수방사' 공공분양, 최고 경쟁률	한국토지주택공사(LH)가 서울 동작구 수방사(수도방위사령부) 부지에 공급하는 공공분양주택 일반공급 본청약에 수요자들이 몰리면서 22가구 청약에 2만5253명이 몰렸다. 14일 LH에 따르면 이날 수방사 공공분양주택	'5억 로또'에 2만5000명 몰렸다 …'수방사' 공공분양, 최고 경쟁률 한국토지주택공사(LH)가 서울 동작구 수방사(수도방위사령부) 부지에 공급하는 공공분양주택 일반공급 본청약에 수요자들이 몰리면서 22가구 청약에 2만5253명이 몰렸다. 14일 LH에 따르면 이날 수방사 공공분양주택	3	긍정
중국산 시멘트 수입, 자재값 더 낮추나...공사비 3개월째 하락 [부동산 아토즈]	3년간 30% 가량 치솟았던 건설공사비지수가 최근 들어 3개월 연속 하락하면서 폭등세가 진정될지 관심이다. 천정부지로 치솟던 자재값이 다소 안정화 된 것이 주된 원인이라는 분석이다. 업계에서도 공사비 폭등이 피크를	중국산 시멘트 수입, 자재값 더 낮추나...공사비 3개월째 하락 [부동산 아토즈] 3년간 30% 가량 치솟았던 건설공사비지수가 최근 들어 3개월 연속 하락하면서 폭등세가 진정될지 관심이다. 천정부지로 치솟던 자재값이 다소 안정화 된 것이 주된 원인이라는 분석이다. 업계에서도 공사비 폭등이 피크를	6	부정입니다.
주택형 전용 85㎡초과가 30.5%로 가장 많이 올라… 중소형은 10.9%상승	전국적으로 분양가 상승세가 이어지는 가운데 주택형 면적구간 가운데는 전용 85㎡초과, 즉 대형타입 분양가가 전용 60~85㎡이하 중소형 주택타입에 비해 2.7배 더 오른 것으로 나타났다. 부동산R114에 따르면 현재	주택형 전용 85㎡초과가 30.5%로 가장 많이 올라… 중소형은 10.9%상승 전국적으로 분양가 상승세가 이어지는 가운데 주택형 면적구간 가운데는 전용 85㎡초과, 즉 대형타입 분양가가 전용 60~85㎡이하 중소형 주택타입에 비해 2.7배 더 오른 것으로 나타났다. 부동산R114에 따르면 현재	2	긍정
수직증축 1호 아파트 ‘잠실더샵루벤’…“리모델링도 주택 공급한다”[현장]	내년 3월이면 ‘국내 1호’ 수직증축 리모델링 단지가 모습을 드러낸다. 송파성지아파트 리모델링(잠실더샵루벤)이 그 주인공이다. 리모델링 업계에서는 이 단지를 시작으로 수직증축 사례가 확대될 것으로 보고 있다. 15일	수직증축 1호 아파트 ‘잠실더샵루벤’…“리모델링도 주택 공급한다”[현장] 내년 3월이면 ‘국내 1호’ 수직증축 리모델링 단지가 모습을 드러낸다. 송파성지아파트 리모델링(잠실더샵루벤)이 그 주인공이다. 리모델링 업계에서는 이 단지를 시작으로 수직증축 사례가 확대될 것으로 보고 있다. 15일	-3	중립
강서구 최초 하이엔드 주거상품 ‘더챔버’ 관심	부동산 양극화 등의 분위기가 이어지고 있는 상황 속 '하이엔드' 주택 시장은 신고가 거래가 속출하고 있다. 침체기에 접어든 2022년부터 최근까지도 하이엔드 상품들은 희소성 등의 영향으로 꾸준히 신고가를 경신하고 있	강서구 최초 하이엔드 주거상품 ‘더챔버’ 관심 부동산 양극화 등의 분위기가 이어지고 있는 상황 속 '하이엔드' 주택 시장은 신고가 거래가 속출하고 있다. 침체기에 접어든 2022년부터 최근까지도 하이엔드 상품들은 희소성 등의 영향으로 꾸준히 신고가를 경신하고 있	-1	긍정
‘매입확약’ 2만 가구 돌파…LH, 주택 공급 확대 ‘속도’	한국토지주택공사(LH)가 주택 공급 확대에 속도를 내고 있다. 미분양을 우려해 공공택지 아파트 및 빌라·오피스텔 사업에 선뜻 나서지 못하던 민간 건설업체들의 신청이 쏟아지면서 수도권을 중심으로 한 주택 공급 절벽에	‘매입확약’ 2만 가구 돌파…LH, 주택 공급 확대 ‘속도’ 한국토지주택공사(LH)가 주택 공급 확대에 속도를 내고 있다. 미분양을 우려해 공공택지 아파트 및 빌라·오피스텔 사업에 선뜻 나서지 못하던 민간 건설업체들의 신청이 쏟아지면서 수도권을 중심으로 한 주택 공급 절벽에	-5	긍정
"""오늘이 가장 싸다""…서울 아파트 분양가 최고가 또 경신"	서울 아파트 분양가격이 한 달 만에 다시 상승하면서 역대 최고가를 재차 갈아치웠다. 3.3㎡당 분양가가 4424만원에 달해 1년 전보다 40% 가까이 급등한 것으로 집계됐다. 15일 주택도시보증공사(HUG)가 발표한	"""오늘이 가장 싸다""…서울 아파트 분양가 최고가 또 경신 서울 아파트 분양가격이 한 달 만에 다시 상승하면서 역대 최고가를 재차 갈아치웠다. 3.3㎡당 분양가가 4424만원에 달해 1년 전보다 40% 가까이 급등한 것으로 집계됐다. 15일 주택도시보증공사(HUG)가 발표한"	0	부정입니다.
“이젠 당첨돼도 고민”…지붕 뚫린 서울 분양가, 평당 4400만원 훌쩍	9월 기준 전년대비 38%↑ 평당 분양가 7209만원 최고가 청담르엘 분양 여파 서울 민간 아파트 분양가가 한 달 만에 다시 오르며 역대 최고치를 경신했다. 15일 주택도시보증공사(HUG)가 발표한 ‘민간아파트 분양	“이젠 당첨돼도 고민”…지붕 뚫린 서울 분양가, 평당 4400만원 훌쩍 9월 기준 전년대비 38%↑ 평당 분양가 7209만원 최고가 청담르엘 분양 여파 서울 민간 아파트 분양가가 한 달 만에 다시 오르며 역대 최고치를 경신했다. 15일 주택도시보증공사(HUG)가 발표한 ‘민간아파트 분양	1	긍정
수익형 부동산 꿈틀…오피스텔 매매가 상승 반전	지난 3분기 서울 오피스텔 매매가격이 상승 전환했다. 주거 수요가 높아진 가운데 금리 인하 기조까지 맞물리며 수익형 부동산이 재조명받는 모양새다. 15일 한국부동산원이 발표한 '오피스텔 가격동향조사'에 따르면, 지난	수익형 부동산 꿈틀…오피스텔 매매가 상승 반전 지난 3분기 서울 오피스텔 매매가격이 상승 전환했다. 주거 수요가 높아진 가운데 금리 인하 기조까지 맞물리며 수익형 부동산이 재조명받는 모양새다. 15일 한국부동산원이 발표한 '오피스텔 가격동향조사'에 따르면, 지난	4	중립입니다.
주택공급 한시가 급한데…서울시 ‘신통기획’ 잇단 취소, 왜?	주민 갈등이 심한 신속통합기획(신통기획) 후보지들의 이탈 가속화 우려가 커지고 있다. 오세훈 서울시장이 속도감 있는 주택공급을 위해 도입했지만, 후보지 곳곳이 수년째 진통을 겪으면서 눈에 띄는 성과는 거두지 못하는	주택공급 한시가 급한데…서울시 ‘신통기획’ 잇단 취소, 왜? 주민 갈등이 심한 신속통합기획(신통기획) 후보지들의 이탈 가속화 우려가 커지고 있다. 오세훈 서울시장이 속도감 있는 주택공급을 위해 도입했지만, 후보지 곳곳이 수년째 진통을 겪으면서 눈에 띄는 성과는 거두지 못하는	-8	부정
"""내 인생 첫 주택"" 화성·파주·양주 몰렸다…젊은층 사로잡은 비결은?"	올해 경기도 생애 첫 아파트 구매가 가장 많은 곳은 화성, 파주, 양주로 나타났다. 서울 접근성이 개선된 영향이 크다는 분석이 나온다. 16일 부동산시장 분석업체 부동산인포가 대법원 ‘소유권이전등기 신청 매수인 현황	"""내 인생 첫 주택"" 화성·파주·양주 몰렸다…젊은층 사로잡은 비결은? 올해 경기도 생애 첫 아파트 구매가 가장 많은 곳은 화성, 파주, 양주로 나타났다. 서울 접근성이 개선된 영향이 크다는 분석이 나온다. 16일 부동산시장 분석업체 부동산인포가 대법원 ‘소유권이전등기 신청 매수인 현황"	-3	긍정입니다.
“너무 올랐어요”… 대출규제 여파·급등 피로감에 9월 집값 상승폭 축소	2단계 스트레스 총부채원리금상환비율(DSR) 등 대출 규제와 급등에 대한 피로감의 여파로 지난달 전국 주택 가격의 상승 폭이 둔화한 것으로 나타났다. 특히 그동안 높은 상승세를 보였던 서울 아파트 매매가의 상승세가	“너무 올랐어요”… 대출규제 여파·급등 피로감에 9월 집값 상승폭 축소 2단계 스트레스 총부채원리금상환비율(DSR) 등 대출 규제와 급등에 대한 피로감의 여파로 지난달 전국 주택 가격의 상승 폭이 둔화한 것으로 나타났다. 특히 그동안 높은 상승세를 보였던 서울 아파트 매매가의 상승세가	-7	중립
LH, 계약 조건 변동됐는데 공지 안해 ‘대토보상제’ 맹점에 땅주인 피해 속출	경기 과천시 갈현동 인근에 토지를 갖고 있던 A씨는 2015년 한국토지주택공사(LH)에 땅을 넘겼다. 해당 지역이 공공주택지구로 지정돼 수용됐기 때문이다. A씨는 현금 대신 나중에 조성될 땅을 살 수 있는 권리를 받	LH, 계약 조건 변동됐는데 공지 안해 ‘대토보상제’ 맹점에 땅주인 피해 속출 경기 과천시 갈현동 인근에 토지를 갖고 있던 A씨는 2015년 한국토지주택공사(LH)에 땅을 넘겼다. 해당 지역이 공공주택지구로 지정돼 수용됐기 때문이다. A씨는 현금 대신 나중에 조성될 땅을 살 수 있는 권리를 받	-6	중립
